City,Lat,Lng,Avg Temp (F),Avg Humidity (%),Avg Cloud Cover (%),Avg Wind Speed (mph)
Adrar,27.87,-0.29,64.72,39.00,51.9,12.83
Barrow,71.29,-156.79,-3.75,92.60,36.8,12.40
Palmer,41.22,-98.26,24.13,80.90,29.5,8.51
Punta Arenas,-53.15,-70.92,48.32,92.38,50,20.57
Rosario,-2.94,-44.25,78.60,93.23,52.6,5.27
Puerto Leguizamo,-0.19,-74.78,82.74,72.38,37.8,2.86
Tasiilaq,65.61,-37.64,25.78,94.68,80.7,17.00
Salekhard,66.53,66.6,3.98,70.90,23.7,8.75
Khani,56.93,119.97,-18.84,47.60,36.5,2.36
Nikolskoye,55.2,166,36.23,91.80,83.3,21.64
Narsaq,60.92,-46.05,7.50,69.85,55,3.10
Busselton,-33.68,115.37,69.24,91.13,4.8,18.92
Faanui,-16.48,-151.75,81.69,100.00,67.7,12.48
Kapaa,22.08,-159.32,69.85,96.23,45.7,4.43
Port Elizabeth,-33.92,25.57,69.85,95.60,30.6,16.95
Pevek,69.7,170.31,17.35,71.45,19.1,14.25
Ponta Do Sol,17.2,-25.09,68.79,99.90,17.9,21.33
Rikitea,-23.12,-134.97,79.29,99.68,56.1,13.61
Tautira,-17.73,-149.15,81.36,99.88,50,11.06
Taolanaro,-25.02,46.99,78.52,89.58,30.6,10.70
Berlevag,70.86,29.09,6.37,100.00,14.8,6.88
Mataura,-23.35,-149.49,77.88,99.60,66.5,7.70
Tiarei,-17.53,-149.33,80.46,99.98,49.5,10.02
Havoysund,71,24.66,15.50,99.95,22.5,8.91
Yumen,40.28,97.2,0.13,71.53,43.5,9.29
Hithadhoo,-0.6,73.08,82.11,99.83,29.3,12.20
Ushuaia,-54.8,-68.3,44.58,83.70,43.3,12.63
Hammerfest,70.66,23.68,22.20,100.00,25.7,10.12
Sao Filipe,14.9,-24.5,70.55,95.40,13.5,18.28
Batemans Bay,-35.72,150.18,69.42,87.90,38.7,7.59
Kita,13.03,-9.49,79.30,35.08,40.4,7.08
Ilulissat,69.22,-51.1,-4.97,100.00,42.1,3.45
Vostok,46.49,135.88,-10.25,59.80,28.6,3.90
Ambunti,-4.24,142.84,79.84,87.00,74.9,2.74
Hermanus,-34.42,19.23,68.06,73.65,32.7,5.84
Bluff,-46.6,168.33,66.83,91.58,39.3,12.64
Meulaboh,4.14,96.13,80.17,99.80,42.4,3.73
Banda Aceh,5.54,95.34,77.80,92.38,39.2,2.45
Raghogarh,24.45,77.2,60.60,52.85,0,4.03
Masunga,-20.62,27.45,73.22,72.55,40.6,9.08
Qaanaaq,77.48,-69.36,-16.69,98.63,14.8,7.47
Russkiy Kameshkir,52.86,46.09,12.64,85.23,66.9,14.99
Saint George,32.38,-64.68,66.83,97.53,37.1,22.01
Chokurdakh,70.63,147.92,-10.32,63.15,53.6,7.62
Bambous Virieux,-20.34,57.76,80.61,82.70,56.9,7.45
Hobart,-42.88,147.33,62.13,76.80,52.6,6.26
Coihaique,-45.58,-72.07,49.90,64.53,28.4,7.42
Tuktoyaktuk,69.45,-133.04,-2.40,89.68,46.3,13.10
Severo-Kurilsk,50.68,156.12,25.65,99.90,45.9,13.63
Ancud,-41.87,-73.82,55.39,80.35,24.9,5.18
Victoria,-4.62,55.45,81.15,100.00,40,13.88
Fortuna,40.6,-124.16,48.83,95.70,60.6,5.93
Tuatapere,-46.13,167.68,66.54,82.45,38.4,9.26
Vila Velha,-20.33,-40.29,77.29,95.38,56.6,11.53
San Patricio,19.22,-104.7,74.23,72.60,49.9,3.85
Yulara,-25.24,130.99,79.71,53.45,62.2,15.74
Akyab,20.15,92.87,66.00,84.30,0,7.66
Kangaatsiaq,68.31,-53.46,9.78,100.00,44.2,7.62
Cape Town,-33.93,18.42,67.93,83.68,10.4,18.04
Bambey,14.7,-16.46,75.00,24.73,23.2,10.90
Laredo,43.42,-3.42,38.44,86.85,13.9,2.87
Albany,-34.71,118.12,63.22,68.30,42.4,12.29
Port Alfred,-33.59,26.89,70.98,83.40,45.9,12.03
Guerrero Negro,27.98,-114.06,61.07,61.83,5,5.38
Jamestown,-15.94,-5.72,71.53,99.98,69.3,14.92
Tepic,21.5,-104.9,69.80,50.50,38.6,3.31
Provideniya,64.38,-173.3,20.11,100.00,26.9,6.21
Sumenep,-7.02,113.87,82.45,93.30,61.6,17.44
Mahebourg,-20.41,57.7,80.61,82.70,56.9,7.45
El Balyana,26.24,32,49.71,73.70,1.4,5.02
Khandyga,62.67,135.6,-36.16,30.70,37.8,3.06
Palabuhanratu,-6.99,106.55,73.86,94.33,72.3,7.08
Illoqqortoormiut,70.49,-21.96,10.96,87.83,78.3,15.99
Puerto Cortes,15.83,-87.93,67.33,97.90,89.9,2.61
Dhidhdhoo,6.88,73.1,81.65,100.00,28.5,6.23
Namibe,-15.2,12.15,76.06,99.98,38.8,6.54
Bredasdorp,-34.53,20.04,69.12,87.68,20.3,16.12
Rocha,-34.48,-54.33,72.32,68.85,26.4,8.83
Bethel,32.41,-81.35,49.57,74.28,38.6,7.50
Puerto Escondido,15.85,-97.07,83.67,96.53,44.2,8.19
Chuy,-33.7,-53.46,73.47,83.38,38.7,11.89
Port Hedland,-20.79,118.63,84.19,56.78,59.7,11.97
The Valley,18.22,-63.06,77.88,98.40,53.8,21.57
Aasiaat,68.71,-52.87,13.70,100.00,47.3,8.33
Suleja,9.18,7.18,79.13,36.28,1.9,8.00
Kerki,37.81,65.2,19.15,78.10,28.8,7.08
Lavrentiya,65.58,-171,14.49,95.40,10.3,6.50
Atuona,-9.8,-139.03,80.57,99.93,70.2,16.82
Kalmunai,7.42,81.82,76.59,88.25,86.5,9.05
Tazovskiy,67.47,78.7,10.40,81.25,62.3,13.03
Avarua,-21.21,-159.78,77.91,99.75,73.2,12.77
Raudeberg,61.98,5.14,32.69,99.33,79.2,6.41
Crab Hill,13.32,-59.64,78.40,99.53,76.8,19.74
Touros,-5.2,-35.46,80.20,85.98,68,10.24
Yellowknife,62.46,-114.35,-22.09,54.85,38.8,8.51
Longyearbyen,78.22,15.64,-7.70,87.53,40,2.99
Tessalit,20.2,1.01,67.36,40.38,42.5,10.06
Kyzyl-Suu,42.34,78.01,11.11,100.00,34.7,4.99
Bardiyah,31.76,25.09,57.02,98.20,23.8,8.57
New Norfolk,-42.78,147.06,58.73,84.95,44.5,5.67
Fairbanks,64.84,-147.72,-25.50,36.78,5.6,4.39
Nizhneyansk,71.45,136.11,-25.10,40.28,33.2,6.52
Vaini,-21.2,-175.2,77.37,99.75,89.2,13.62
Troitskoye,55.19,35.92,20.52,86.93,79.2,11.71
East London,-33.02,27.91,72.61,97.58,58.1,16.40
Tiruvottiyur,13.17,80.3,77.59,94.68,2.8,11.67
Kodiak,57.79,-152.41,29.76,99.93,50.9,14.47
Doha,25.29,51.53,62.68,77.65,16.2,14.06
Sohag,26.56,31.7,49.71,73.70,1.4,5.02
Geraldton,-28.77,114.6,78.71,68.95,0.4,20.72
Ondjiva,-17.07,15.73,74.20,77.83,26,5.37
Dikson,73.51,80.55,17.09,96.15,75.8,21.50
Santa Maria,-26.78,-56.93,78.74,78.10,43.2,4.59
Kamogawa,35.11,140.1,39.00,92.75,32.7,7.37
Nanhai,30.13,111.78,23.29,80.83,42.8,4.04
Ravar,31.27,56.81,36.25,45.45,9.8,3.89
Boguchany,58.38,97.45,-1.17,64.90,57.8,6.94
Kerteh,4.51,103.44,76.41,92.28,71.8,4.20
Katsuura,35.13,140.3,42.67,92.98,29.4,9.29
Boyuibe,-20.42,-63.28,71.61,96.70,87,9.10
Eskisehir,39.78,30.52,25.46,73.93,1.8,3.10
Zboriv,49.66,25.14,34.20,92.63,77.5,13.53
Baykit,61.67,96.37,-5.93,71.03,49.3,6.37
Marawi,18.48,31.82,61.79,45.63,4.4,11.50
Nouadhibou,20.93,-17.03,62.90,73.05,1.7,15.37
Sitka,57.05,-135.33,27.81,100.00,42.4,11.42
Ahipara,-35.17,173.17,71.92,82.78,31.3,17.44
Pangody,65.85,74.49,8.25,78.88,43.9,12.84
Kousseri,12.08,15.03,70.52,34.68,0,11.35
